county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Franklin,Carthage,contact info,https://www.maine.gov/local/town.php?t=Carthage,,,,,Franklin
Franklin,Chesterville,town,https://www.townofchesterville.me/,,"March 19: Election, March 20: Town Meeting",https://www.townofchesterville.me/annual-town-meeting,Meeting information,Franklin
Franklin,Coplin Plantation,contact info,https://www.maine.gov/local/town.php?t=Coplin%20Plt,,,,,Franklin
Franklin,Dallas Plantation,town,https://www.dallasplantation.com/,,"June 8: School budget election, June 11: Town meeting",,,Franklin
Franklin,Eustis,election,https://eustismaine.org/departments/registrar-of-voters/,,School budget meeting,https://eustismaine.org/event/school-budget-meeting/,Meeting details,Franklin
Franklin,Farmington,election,https://www.farmington-maine.org/voting-and-elections,,Referendum,https://www.farmington-maine.org/files/Town%20Clerk/ME_2021_Farmington_Budget_Referendum_Specimen.pdf,Sample ballot,Franklin
Franklin,Industry,town,https://www.townofindustry.com/?fbclid=IwAR3ULakS5ZFcjydfwY8IPYtBiLl1R7D11v_eQc6VYBPzKl29NAnz0gFZATE,,Budget referendum,https://9d15f790-37b7-4651-9d96-28e308b3ce7f.filesusr.com/ugd/d3fe4f_ce10dc000d044ab7b74a93b41acdebee.pdf,Sample ballot,Franklin
Franklin,Jay,town,http://www.jay-maine.org/,,April 27: Town meeting,,,Franklin
Franklin,Kingfield,election,http://www.kingfield.me/1005-2/,,,,,Franklin
Franklin,New Sharon,town,https://www.newsharon.maine.gov/,,March 12: Town meeting,https://www.newsharon.maine.gov/2021-annual-town-meeting,Town meeting details,Franklin
Franklin,New Vineyard,town,http://www.newvineyardme.org/,,,,,Franklin
Franklin,Phillips,town,http://www.phillipsmaine.com/,,,,,Franklin
Franklin,Rangeley,election,https://townofrangeley.com/185/Elections-Voter-Registration,,,,,Franklin
Franklin,Rangeley Plantation,contact info,https://www.maine.gov/local/town.php?t=Rangeley%20Plt,,,,,Franklin
Franklin,Sandy River Plantation,contact info,https://www.maine.gov/local/town.php?t=Sandy%20River%20Plt,,,,,Franklin
Franklin,Strong,town,http://strongmaine.com/,,,,,Franklin
Franklin,Temple,town,https://townoftemple.org/?fbclid=IwAR3pyJXsu2LQvxIpDx2paoXqPwlFMHMfraJdB9IMHMspf1bhzCWqyWkeaqo,,,,,Franklin
Franklin,Weld,town,http://www.weld-maine.org/,,,,,Franklin
Franklin,Wilton,town,http://www.wiltonmaine.org,,Town meeting,https://wiltonmaine.org/,Town meeting warrant and ordinance details,Franklin
Hancock,Amherst,town,http://amherstmaine.org/,,,,,Hancock
Hancock,Aurora,contact info,https://www.maine.gov/local/town.php?t=Aurora,,,,,Hancock
