county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
,Winthrop,election,https://www.winthropmaine.org/town-clerk/pages/voting-election-information,Town Office at 17 Highland Avenue,,,,Kennebec
Knox,,county,https://www.knoxcountymaine.gov/,,,,,Knox
,Appleton,town,https://appleton.maine.gov/,,,,,Knox
,Camden,election,https://www.camdenmaine.gov/town_clerk/voter_registration.php,"Entrance door of Camden Town Office, 29 Elm Street",,,,Knox
,Cushing,town,https://www.cushing.maine.gov/,,,,,Knox
,Friendship,contact info,https://www.maine.gov/local/town.php?t=Friendship,,,,,Knox
,Hope,town,https://hopemaine.org/,,,,,Knox
,Isle Au Haut,town,http://www.isleauhautmaine.us/,,,,,Knox
,Matinicus Isle Plantation,town,https://matinicusplantation.com/election-information/,,,,,Knox
,North Haven,town,http://www.northhavenmaine.org/,,,,,Knox
,Owls Head,town,https://www.owlshead.maine.gov/government/elections-information/,,,,,Knox
,Rockland,election,https://rocklandmaine.gov/municipal/departments/clerks-office/voting/,,,,,Knox
,Rockport,election,https://www.town.rockport.me.us/index.asp?Type=B_BASIC&SEC={A71530A6-2667-4219-A5D1-3C8166C708E7},,,,,Knox
,South Thomaston,town,https://souththomaston.me/voting-and-elections/,,,,,Knox
,St. George,election,https://www.stgeorgemaine.com/elections,,,,,Knox
,Thomaston,town,https://thomastonmaine.gov/index.asp?SEC=126CAC0D-8642-4F02-8010-5BB0C1D51B6A,,,,,Knox
,Union,election,https://www.union.maine.gov/index.asp?SEC=0CE95965-3E88-49A6-8457-30093F663D27&Type=B_BASIC,,,,,Knox
,Vinalhaven,town,https://www.townofvinalhaven.org/,,,,,Knox
,Warren,election,https://warrenmaine.org/index.asp?SEC=9A16E126-423D-4173-BA38-89BF24884BF9,,,,,Knox
,Washington,town,https://www.washington.maine.gov/,,,,,Knox
Lincoln,,county,https://www.lincolncountymaine.me/#!,,,,,Lincoln
,Alna,town,https://www.alna.maine.gov/,,,,,Lincoln
,Boothbay,town,https://www.townofboothbay.org/,,,,,Lincoln
,Boothbay Harbor,town,https://www.boothbayharbor.org/,,,,,Lincoln
,Bremen,town,http://www.bremenmaine.org/,,,,,Lincoln
,Bristol,election,https://www.bristolmaine.org/town-clerk/pages/elections,Town Hall - to the left of the front door,,,,Lincoln
,Damariscotta,election,https://www.damariscottame.com/town-clerk/pages/elections,,,,,Lincoln
,Dresden,town,https://www.townofdresden.com/,,,,,Lincoln
,Edgecomb,town,https://edgecomb.org/,,,,,Lincoln
,Jefferson,election,https://jeffersonmaine.org/election-information/,,,,,Lincoln
,Monhegan Island Plantation,town,http://www.monheganplantation.com/,,,,,Lincoln
,Newcastle,election,https://www.newcastlemaine.us/government/election-information/,,,,,Lincoln
,Nobleboro,election,https://www.nobleboro.maine.gov/index.asp?SEC=0A6C6CD7-512A-43E9-B9C2-DD879B3D7ED5,,,,,Lincoln
,Somerville,town,https://www.somervillemaine.org/home,,,,,Lincoln
,South Bristol,town,https://www.townofsouthbristol.com/,,,,,Lincoln
,Southport,town,https://www.townofsouthport.org/,,,,,Lincoln
,Waldoboro,election,https://www.waldoboromaine.org/departments/town_clerk/voting_information/index.php,,,,,Lincoln
,Westport Island,election,http://westportisland.us/government/voter-registration,,,,,Lincoln
,Whitefield,election,https://townofwhitefield.com/election-information/,,,,,Lincoln
,Wiscasset,election,http://www.wiscasset.org/departments/town-clerk-and-elections,,,,,Lincoln
Oxford,,county,https://www.oxfordcounty.org/,,,,,Oxford
,Andover,town,https://www.andovermaine.org/,,,,,Oxford
,Bethel,election,https://www.bethelmaine.org/2181/Voter-Registration,,,,,Oxford
,Brownfield,town,http://www.brownfieldmaine.org/,,,,,Oxford
,Buckfield,town,https://www.townofbuckfield.com,,,,,Oxford
,Byron,Facebook,https://www.facebook.com/Town-of-Byron-Maine-559875007809068/,,,,,Oxford
,Canton,Facebook,https://www.facebook.com/cantonmaine,,,,,Oxford
,Denmark,election,https://www.denmarkmaine.org/index.asp?Type=B_BASIC&SEC={71AE01AE-D71C-4B94-ABEF-6BE5F6008049},,,,,Oxford
,Dixfield,town,https://dixfield.org/,,,,,Oxford
,Fryeburg,town,http://www.fryeburgmaine.org/,,,,,Oxford
,Gilead,Facebook,https://www.facebook.com/pages/category/Government-Organization/Gilead-Town-Office-614214438918965/,,,,,Oxford
,Greenwood,town,http://www.greenwoodmaine.org/,,,,,Oxford
,Hanover,town,http://hanoverme.org/,,,,,Oxford
,Hartford,town,https://httphartfordmaine.org/,,,,,Oxford
,Hebron,election,https://hebronmaine.org/index.asp?SEC=BFFFF77E-BF4B-490E-BCAC-8E7052666D19&Type=B_LIST,,,,,Oxford
,Hiram,election,https://townofhiram.org/elections,,,,,Oxford
,Lincoln Plantation,contact info,https://www.maine.gov/local/town.php?t=Lincoln%20Plt,,,,,Oxford
,Lovell,town,http://www.lovellmaine.org/,,,,,Oxford
,Magalloway Plantation,Facebook,https://www.facebook.com/pages/Magalloway-Plantation-Maine/109272282425174,,,,,Oxford
,Mason Township,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
,Mexico,town,http://www.mexicomaine.net/,,,,,Oxford
,Milton Township,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
,Newry,town,https://newrymaine.org/,,,,,Oxford
,North Oxford Unorganized Territories,(Oxford County unorganized territories),https://www.oxfordcounty.org/unorg-territory,,,,,Oxford
,Norway,election,https://norwaymaine.com/votingelections-2/,,,,,Oxford
,Otisfield,election,https://www.otisfieldme.gov/town-clerk/pages/voting-election-information,,,,,Oxford
,Oxford,election,https://www.oxfordmaine.org/general-information/town-meeting,Town Office,,,,Oxford
,Paris,town,https://www.parismaine.org/,,,,,Oxford
,Peru,contact info,https://www.maine.gov/local/town.php?t=Peru,,,,,Oxford
,Porter,election,https://portermaine.org/voter-reg-%26-elections,,,,,Oxford
,Roxbury,town,http://www.roxburymaine.com/index.php,,,,,Oxford
,Rumford,town,http://www.rumfordme.org/,,,,,Oxford
,South Oxford Unorganized Territory,Facebook,https://www.facebook.com/pages/South-Oxford-Maine/139309962754460,,,,,Oxford
,Stoneham,town,https://stoneham-maine.com/,,,,,Oxford
,Stow,town,https://www.stowmaine.us/#!,,,,,Oxford
,Sumner,town,http://www.sumnermaine.us,,,,,Oxford
,Sweden,election,https://swedenmaine.org/voter-registration/,,,,,Oxford
,Upton,contact info,https://www.maine.gov/local/town.php?t=Upton,,,,,Oxford
,Waterford,town,https://waterfordme.org/index.php,,,,,Oxford
,West Paris,election,https://www.westparisme.com/index.asp?SEC=19147DB6-D2B4-46FE-8C61-8385CF9880BD,,,,,Oxford
,Woodstock,town,http://woodstockmaine.net/,,,,,Oxford
Penobscot,,county,https://www.penobscot-county.net/#!,,,,,Penobscot
