county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
Knox,Rockport,election,https://rockportmaine.gov/elections,,,,,Knox
Knox,South Thomaston,town,https://souththomaston.me/voting-and-elections/,,,,,Knox
Knox,St. George,election,https://www.stgeorgemaine.com/elections,,,,,Knox
Knox,Thomaston,town,https://thomastonmaine.gov/index.asp?SEC=126CAC0D-8642-4F02-8010-5BB0C1D51B6A,,,,,Knox
Knox,Union,election,https://www.union.maine.gov/index.asp?SEC=0CE95965-3E88-49A6-8457-30093F663D27&Type=B_BASIC,,,,,Knox
Knox,Vinalhaven,town,https://www.townofvinalhaven.org/,,,,,Knox
Knox,Warren,election,https://warrenmaine.org/index.asp?SEC=9A16E126-423D-4173-BA38-89BF24884BF9,,,,,Knox
Knox,Washington,town,https://www.washington.maine.gov/,,,,,Knox
Lincoln,Alna,town,https://www.alna.maine.gov/,,,,,Lincoln
Lincoln,Boothbay,town,https://www.townofboothbay.org/,,,,,Lincoln
Lincoln,Boothbay Harbor,town,https://www.boothbayharbor.org/,,,,,Lincoln
Lincoln,Bremen,town,http://www.bremenmaine.org/,,,,,Lincoln
Lincoln,Bristol,election,https://www.bristolmaine.org/town-clerk/pages/elections,Town Hall - to the left of the front door,,,,Lincoln
Lincoln,Damariscotta,election,https://www.damariscottame.com/town-clerk/pages/elections,,,,,Lincoln
Lincoln,Dresden,town,https://dresdenme.org/,,,,,Lincoln
Lincoln,Edgecomb,town,https://edgecomb.org/,,,,,Lincoln
Lincoln,Jefferson,election,https://jeffersonmaine.org/election-information/,,,,,Lincoln
Lincoln,Monhegan Island Plantation,town,http://www.monheganplantation.com/,,,,,Lincoln
Lincoln,Newcastle,election,https://www.newcastlemaine.us/town-clerk/pages/election-information,,,,,Lincoln
Lincoln,Nobleboro,election,https://www.nobleboro.maine.gov/index.asp?SEC=0A6C6CD7-512A-43E9-B9C2-DD879B3D7ED5,,,,,Lincoln
Lincoln,Somerville,election,https://www.somervillemaine.org/home/services/registrar-of-voters,,,,,Lincoln
Lincoln,South Bristol,town,https://www.townofsouthbristol.com/,,,,,Lincoln
Lincoln,Southport,town,https://www.townofsouthport.org/,,,,,Lincoln
Lincoln,Waldoboro,election,https://www.waldoboromaine.org/departments/town_clerk/voting_information/index.php,,,,,Lincoln
Lincoln,Westport Island,election,http://westportisland.us/government/voter-registration,,,,,Lincoln
Lincoln,Whitefield,election,https://townofwhitefield.com/election-information/,,,,,Lincoln
Lincoln,Wiscasset,election,http://www.wiscasset.org/departments/town-clerk-and-elections,,,,,Lincoln
Oxford,Andover,town,https://www.andovermaine.org/,,,,,Oxford
Oxford,Bethel,election,https://bethelmaine.org/pages/voting,,,,,Oxford
Oxford,Brownfield,town,http://www.brownfieldmaine.org/,,,,,Oxford
Oxford,Buckfield,town,https://www.buckfield.maine.gov/,,,,,Oxford
Oxford,Byron,Facebook,https://www.facebook.com/Town-of-Byron-Maine-559875007809068/,,,,,Oxford
Oxford,Canton,Facebook,https://www.facebook.com/cantonmaine,,,,,Oxford
